,appMatrName,edName,apptName,status
97,期货公司变更控股股东、第一大股东或者公司的实际控制人许可,期货部,新纪元期货股份有限公司,接收材料@20230928-->补正通知@20231011-->
98,公开募集基金募集申请注册-蜂巢趋势臻选混合型证券投资基金,机构部,蜂巢基金管理有限公司,接收材料@20230928-->受理通知@20231012-->
99,合格境外投资者资格许可,机构部,柏瑞投资亚洲有限公司,接收材料@20230927-->受理通知@20230927-->
100,公开募集基金募集申请注册-兴证全球丰德债券型证券投资基金,机构部,兴证全球基金管理有限公司,接收材料@20231016-->
101,公开募集基金募集申请注册-招商中证芯片设计主题交易型开放式指数证券投资基金,机构部,招商基金管理有限公司,接收材料@20231010-->补正通知@20231017-->
102,公开募集基金募集申请注册-银河高端装备混合型发起式证券投资基金,机构部,银河基金管理有限公司,接收材料@20231009-->受理通知@20231012-->
103,公开募集基金募集申请注册-博时中证港美上市全球智能驾驶主题指数型发起式证券投资基金（QDII）,机构部,博时基金管理有限公司,接收材料@20231008-->补正通知@20231012-->
104,公开募集基金募集申请注册-博时中证半导体产业交易型开放式指数证券投资基金,机构部,博时基金管理有限公司,接收材料@20231008-->受理通知@20231012-->
105,公开募集基金募集申请注册-国新国证鑫悦一年定期开放债券型发起式证券投资基金,机构部,国新国证基金管理有限公司,接收材料@20231007-->补正通知@20231012-->
106,公开募集基金募集申请注册-东方享誉30天滚动持有债券型证券投资基金,机构部,东方基金管理股份有限公司,接收材料@20230928-->受理通知@20231012-->
107,公开募集基金募集申请注册-汇添富全球先进制造混合型证券投资基金（QDII）,机构部,汇添富基金管理股份有限公司,接收材料@20230928-->受理通知@20231012-->
108,公开募集基金募集申请注册-方正富邦瑞福6个月持有期债券型证券投资基金,机构部,方正富邦基金管理有限公司,接收材料@20230928-->受理通知@20231012-->
109,公开募集基金募集申请注册-华富恒惠纯债债券型证券投资基金,机构部,华富基金管理有限公司,接收材料@20230928-->受理通知@20231012-->
110,公开募集基金募集申请注册-长信优势行业混合型证券投资基金,机构部,长信基金管理有限责任公司,接收材料@20230928-->受理通知@20231012-->
111,公开募集基金募集申请注册-南华丰元量化选股混合型证券投资基金,机构部,南华基金管理有限公司,接收材料@20230928-->受理通知@20231012-->
112,期货公司通过子公司从事股票期权做市业务许可,期货部,兴证期货有限公司,接收材料@20230928-->补正通知@20231011-->
113,公开募集基金变更注册-交银施罗德安悦平衡养老目标三年持有期混合型发起式基金中基金（FOF）,机构部,交银施罗德基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
114,公开募集基金变更注册-博时富发纯债债券型证券投资基金,机构部,博时基金管理有限公司,接收材料@20230927-->
115,公开募集基金募集申请注册-富国稳健双鑫债券型证券投资基金,机构部,富国基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
116,公开募集基金募集申请注册-华宝中证半导体材料设备主题指数型证券投资基金,机构部,华宝基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
117,公开募集基金募集申请注册-摩根标普500交易型开放式指数证券投资基金(QDII),机构部,摩根基金管理（中国）有限公司,接收材料@20230927-->受理通知@20231010-->
118,公开募集基金募集申请注册-华安均衡增长混合型证券投资基金,机构部,华安基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
119,公开募集基金募集申请注册-东方红欣和稳健配置3个月持有期混合型基金中基金（FOF）,机构部,上海东方证券资产管理有限公司,接收材料@20230927-->受理通知@20231010-->
120,上市公司向特定对象发行股票注册,发行部,深圳市长亮科技股份有限公司,接收材料@20230927-->
121,公开募集基金募集申请注册-中欧红利精选混合型发起式证券投资基金,机构部,中欧基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
122,公开募集基金变更注册-广发碳中和主题混合型发起式证券投资基金,机构部,广发基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
123,公开募集基金募集申请注册-中银月月享30天滚动持有债券型证券投资基金,机构部,中银基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
124,公开募集基金募集申请注册-富国中证全指光伏设备行业交易型开放式指数证券投资基金,机构部,富国基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
125,公开募集基金募集申请注册-万家研究领航混合型证券投资基金,机构部,万家基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
126,公开募集基金募集申请注册-信澳星煜智选混合型证券投资基金,机构部,信达澳亚基金管理有限公司,接收材料@20230926-->受理通知@20231010-->
127,公开募集基金变更注册-南方交元债券型证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20230926-->受理通知@20231010-->
128,上市公司向特定对象发行股票注册,发行部,上海外高桥集团股份有限公司,接收材料@20230926-->
129,公开募集基金募集申请注册-南方标普500交易型开放式指数证券投资基金发起式联接基金（QDII）,机构部,南方基金管理股份有限公司,接收材料@20230926-->受理通知@20231010-->
130,公开募集基金募集申请注册-南方智行混合型证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20230926-->受理通知@20231010-->
131,公开募集基金募集申请注册-银华上证科创板50成份增强策略交易型开放式指数证券投资基金,机构部,银华基金管理股份有限公司,接收材料@20230926-->受理通知@20231010-->
132,公开募集基金募集申请注册-工银瑞信中证科创创业50增强策略交易型开放式指数证券投资基金,机构部,工银瑞信基金管理有限公司,接收材料@20230926-->受理通知@20231010-->
133,公开募集基金募集申请注册-南方半导体产业股票型发起式证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20230925-->补正通知@20230926-->
134,公开募集基金募集申请注册-易方达中证2000指数增强型证券投资基金,机构部,易方达基金管理有限公司,接收材料@20230925-->受理通知@20230926-->
135,公开募集基金募集申请注册-天弘全球稳健配置混合型发起式证券投资基金(QDII),机构部,天弘基金管理有限公司,接收材料@20230925-->补正通知@20230926-->
136,公开募集基金募集申请注册-渤海汇金2个月滚动持有债券型发起式证券投资基金,机构部,渤海汇金证券资产管理有限公司,接收材料@20230925-->受理通知@20230926-->
137,公开募集基金募集申请注册-景顺长城中证港股通创新药交易型开放式指数证券投资基金,机构部,景顺长城基金管理有限公司,接收材料@20230925-->补正通知@20230926-->
138,公开募集基金募集申请注册-万家红利量化选股混合型发起式证券投资基金,机构部,万家基金管理有限公司,接收材料@20230925-->受理通知@20230926-->
139,合格境外投资者资格许可,机构部,东海国际资产管理(香港)有限公司,接收材料@20230925-->受理通知@20230925-->一次书面反馈@20231009-->
140,合格境外投资者资格许可,机构部,华盛资产管理有限公司,接收材料@20230925-->受理通知@20230925-->一次书面反馈@20231010-->
141,公开募集基金募集申请注册-信澳稳宁30天滚动持有债券型证券投资基金,机构部,信达澳亚基金管理有限公司,接收材料@20230925-->受理通知@20230926-->
142,向不特定合格投资者公开发行股票并在北京证券交易所上市注册,公众公司部,山东泰鹏智能家居股份有限公司,接收材料@20230922-->
143,公开募集基金募集申请注册-浦银安盛中证2000指数增强型证券投资基金,机构部,浦银安盛基金管理有限公司,接收材料@20230925-->受理通知@20230926-->
144,公开募集基金募集申请注册-易米远见长期价值一年定期开放混合型证券投资基金,机构部,易米基金管理有限公司,接收材料@20230925-->补正通知@20230926-->
145,公开募集基金募集申请注册-嘉实中证2000交易型开放式指数证券投资基金发起式联接基金,机构部,嘉实基金管理有限公司,接收材料@20230922-->受理通知@20230926-->
146,公开募集基金募集申请注册-财通资管创新成长混合型证券投资基金,机构部,财通证券资产管理有限公司,接收材料@20230922-->受理通知@20230926-->
147,公开募集基金募集申请注册-华泰柏瑞上证科创板100交易型开放式指数证券投资基金,机构部,华泰柏瑞基金管理有限公司,接收材料@20230922-->受理通知@20230926-->
148,公开募集基金募集申请注册-汇添富稳鼎120天滚动持有债券型证券投资基金,机构部,汇添富基金管理股份有限公司,接收材料@20230922-->受理通知@20230926-->
149,公开募集基金募集申请注册-富国国证信息技术创新主题交易型开放式指数证券投资基金发起式联接基金,机构部,富国基金管理有限公司,接收材料@20230922-->受理通知@20230926-->
150,公开募集基金变更注册-天弘全球新能源汽车股票型发起式证券投资基金（QDII-LOF）,机构部,天弘基金管理有限公司,接收材料@20231013-->
151,公开募集基金募集申请注册-华富泰合平衡3个月持有期混合型发起式基金中基金（FOF）,机构部,华富基金管理有限公司,接收材料@20230928-->受理通知@20231012-->
152,公开募集基金募集申请注册-华富中证证券公司先锋策略交易型开放式指数证券投资基金发起式联接基金,机构部,华富基金管理有限公司,接收材料@20230928-->补正通知@20231012-->
153,公开募集基金募集申请注册-国泰优质领航混合型证券投资基金,机构部,国泰基金管理有限公司,接收材料@20230927-->受理通知@20231010-->
154,公开募集基金募集申请注册-英大CFETS0-3年期政策性金融债指数证券投资基金,机构部,英大基金管理有限公司,接收材料@20230927-->
155,公开募集基金募集申请注册-创金合信北证50成份指数增强型证券投资基金,机构部,创金合信基金管理有限公司,接收材料@20230925-->受理通知@20230926-->
156,公开募集基金募集申请注册-博时津开科工产业园封闭式基础设施证券投资基金,机构部,博时基金管理有限公司,接收材料@20230922-->受理通知@20230925-->
157,公开募集基金募集申请注册-南方上证科创板100交易型开放式指数证券投资基金,机构部,南方基金管理股份有限公司,接收材料@20230922-->受理通知@20230926-->
158,公开募集基金募集申请注册-易方达上证科创板100交易型开放式指数证券投资基金,机构部,易方达基金管理有限公司,接收材料@20230922-->受理通知@20230926-->
159,公开募集基金变更注册-汇添富稳嘉30天持有期纯债债券型证券投资基金,机构部,汇添富基金管理股份有限公司,接收材料@20230922-->补正通知@20230926-->
160,公开募集基金募集申请注册-广发集享债券型证券投资基金,机构部,广发基金管理有限公司,接收材料@20230922-->受理通知@20230926-->
161,公开募集基金募集申请注册-汇添富中证2000交易型开放式指数证券投资基金发起式联接基金,机构部,汇添富基金管理股份有限公司,接收材料@20230922-->受理通知@20230926-->
162,公开募集基金募集申请注册-汇添富全球配置混合型证券投资基金（QDII）,机构部,汇添富基金管理股份有限公司,接收材料@20230922-->受理通知@20230926-->
163,公开募集基金募集申请注册-易方达中证2000交易型开放式指数证券投资基金发起式联接基金,机构部,易方达基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
164,公开募集基金募集申请注册-广发集盛债券型证券投资基金,机构部,广发基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
165,公开募集基金募集申请注册-天弘匠心回报债券型证券投资基金,机构部,天弘基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
166,公开募集基金募集申请注册-国泰中证2000交易型开放式指数证券投资基金发起式联接基金,机构部,国泰基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
167,公开募集基金募集申请注册-浦银安盛普安利率债债券型证券投资基金,机构部,浦银安盛基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
168,向不特定合格投资者公开发行股票并在北京证券交易所上市注册,公众公司部,重庆美心翼申机械股份有限公司,接收材料@20230921-->
169,公开募集基金募集申请注册-东兴中证1000指数量化增强型证券投资基金,机构部,东兴基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
170,公开募集基金募集申请注册-泓德智选启元混合型证券投资基金,机构部,泓德基金管理有限公司,接收材料@20230921-->受理通知@20230926-->
171,公开募集基金募集申请注册-景顺长城国证石油天然气交易型开放式指数证券投资基金,机构部,景顺长城基金管理有限公司,接收材料@20230920-->受理通知@20230926-->
172,公开募集基金变更注册-平安惠澜纯债债券型证券投资基金,机构部,平安基金管理有限公司,接收材料@20230920-->
173,合格境外投资者资格许可,机构部,希佰资有限公司,接收材料@20230919-->受理通知@20230919-->行政许可决定书@20231007-->
174,公开募集基金募集申请注册-富国中证绿色电力交易型开放式指数证券投资基金发起式联接基金,机构部,富国基金管理有限公司,接收材料@20230919-->受理通知@20230922-->
175,公开募集基金募集申请注册-申万菱信安泰添益纯债债券型证券投资基金,机构部,申万菱信基金管理有限公司,接收材料@20230919-->受理通知@20230922-->
176,公开募集基金募集申请注册-嘉实中证沪深港黄金产业股票交易型开放式指数证券投资基金,机构部,嘉实基金管理有限公司,接收材料@20230919-->受理通知@20230922-->
177,公开募集基金变更注册-招商动力领航混合型证券投资基金,机构部,招商基金管理有限公司,接收材料@20230919-->
178,公开募集基金募集申请注册-博时中证港股通创新药交易型开放式指数证券投资基金,机构部,博时基金管理有限公司,接收材料@20230919-->补正通知@20230922-->
179,公开募集基金募集申请注册-华夏创业板综合交易型开放式指数证券投资基金,机构部,华夏基金管理有限公司,接收材料@20230919-->受理通知@20230922-->
180,公开募集基金募集申请注册-景顺长城中债0-3年国开行债券指数证券投资基金,机构部,景顺长城基金管理有限公司,接收材料@20230919-->受理通知@20230922-->
181,公开募集基金募集申请注册-景顺长城180天持有期债券型证券投资基金,机构部,景顺长城基金管理有限公司,接收材料@20230918-->受理通知@20230922-->
182,公开募集基金募集申请注册-易方达中证沪港深300交易型开放式指数证券投资基金发起式联接基金,机构部,易方达基金管理有限公司,接收材料@20230918-->受理通知@20230922-->
183,公开募集基金募集申请注册-南方中证2000交易型开放式指数证券投资基金联接基金,机构部,南方基金管理股份有限公司,接收材料@20230918-->受理通知@20230922-->
184,合格境外投资者资格许可,机构部,吉尼斯资产管理有限公司,接收材料@20230918-->受理通知@20230918-->行政许可决定书@20230922-->
185,公开募集基金募集申请注册-鹏华智投数字经济混合型证券投资基金,机构部,鹏华基金管理有限公司,接收材料@20230918-->受理通知@20230922-->
186,公司首次公开发行股票注册,发行部,广东汇成真空科技股份有限公司,接收材料@20230915-->
187,公开募集基金募集申请注册-国泰君安180天持有期债券型发起式证券投资基金,机构部,上海国泰君安证券资产管理有限公司,接收材料@20230915-->受理通知@20230922-->
188,公开募集基金募集申请注册-国泰君安120天持有期债券型发起式证券投资基金,机构部,上海国泰君安证券资产管理有限公司,接收材料@20230915-->受理通知@20230922-->
189,公开募集基金募集申请注册-安信60天滚动持有债券型证券投资基金,机构部,安信基金管理有限责任公司,接收材料@20230915-->受理通知@20230922-->
190,公开募集基金募集申请注册-华宝上证科创板芯片指数型发起式证券投资基金,机构部,华宝基金管理有限公司,接收材料@20230915-->补正通知@20230922-->
191,公开募集基金募集申请注册-泰康国证公共卫生与健康交易型开放式指数证券投资基金发起式联接基金,机构部,泰康基金管理有限公司,接收材料@20230915-->受理通知@20230922-->
192,公开募集基金募集申请注册-博时上证科创板100交易型开放式指数证券投资基金联接基金,机构部,博时基金管理有限公司,接收材料@20230915-->受理通知@20230922-->
193,公开募集基金募集申请注册-银华中证新能源金属主题交易型开放式指数证券投资基金,机构部,银华基金管理股份有限公司,接收材料@20230915-->补正通知@20230922-->
194,公开募集基金募集申请注册-嘉实季季惠享3个月持有期纯债债券型证券投资基金,机构部,嘉实基金管理有限公司,接收材料@20230915-->受理通知@20230922-->
195,公开募集基金募集申请注册-鹏华上证科创板100交易型开放式指数证券投资基金联接基金,机构部,鹏华基金管理有限公司,接收材料@20230915-->受理通知@20230922-->
196,合格境外投资者资格许可,机构部,招银国际(新加坡)私人有限公司,接收材料@20230915-->受理通知@20230915-->一次书面反馈@20230925-->
197,公开募集基金募集申请注册-银华上证科创板100交易型开放式指数证券投资基金联接基金,机构部,银华基金管理股份有限公司,接收材料@20230915-->受理通知@20230922-->
198,公开募集基金募集申请注册-招商中证2000指数增强型证券投资基金,机构部,招商基金管理有限公司,接收材料@20230914-->受理通知@20230920-->
